HOTEL,LEAD_TIME,ARRIVAL_DATE_WEEK_NUMBER,STAYS_IN_WEEKEND_NIGHTS,STAYS_IN_WEEK_NIGHTS,ADULTS,CHILDREN,BABIES,MEAL,COUNTRY,MARKET_SEGMENT,DISTRIBUTION_CHANNEL,IS_REPEATED_GUEST,PREVIOUS_CANCELLATIONS,PREVIOUS_BOOKINGS_NOT_CANCELED,RESERVED_ROOM_TYPE,ASSIGNED_ROOM_TYPE,BOOKING_CHANGES,DEPOSIT_TYPE,AGENT,DAYS_IN_WAITING_LIST,CUSTOMER_TYPE,ADR,REQUIRED_CAR_PARKING_SPACES,TOTAL_OF_SPECIAL_REQUESTS,RESERVATION_STATUS,RESERVATION_STATUS_DATE,ARRIVAL_DATE,TOTAL_NIGHTS,REVENUE,MONTH,DAY_NAME,YEAR,BOOKING_DAY_TYPE,BOOKING_STATUS,CUSTOMER_SEGMENT,BOOKING_PLATFORM,DEVICE_TYPE,DISCOUNT_PERCENTAGE,TOTAL_STAY,TOTAL_REVENUE,Payment_Method,FINAL REVENUE
City Hotel,66,17,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,88,0,1,Canceled,24-02-2016,21-04-2016,2,176,April,Thursday,2016,Weekday,cancelled,Individual,Mobile App,Android,0,2,176,DEBIT CARD,176
City Hotel,66,17,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,94,0,1,Canceled,24-02-2016,21-04-2016,2,188,April,Thursday,2016,Weekday,cancelled,Group,Website,Android,20,2,188,DEBIT CARD,150.4
Resort Hotel,31,17,0,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,0,Transient,50.4,0,1,Canceled,19-04-2016,21-04-2016,2,100.8,April,Thursday,2016,Weekday,cancelled,Business,Partner Platform,Desktop,15,2,84,UPI,71.4
City Hotel,206,17,0,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,0,Transient-Party,52.98,1,2,Check-Out,24-04-2016,21-04-2016,3,158.94,April,Thursday,2016,Weekday,completed,Business,Mobile App,iOS,5,3,158.94,UPI,150.993
Resort Hotel,206,17,0,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,0,Transient-Party,56.376,0,2,Check-Out,24-04-2016,21-04-2016,3,169.128,April,Thursday,2016,Weekday,completed,Individual,Mobile App,iOS,15,3,140.94,UPI,119.799
Resort Hotel,100,17,1,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,240,0,Transient,52.92,0,0,Canceled,01-04-2016,21-04-2016,4,211.68,April,Thursday,2016,Weekday,cancelled,Business,Website,Desktop,15,4,176.4,NET BANKING,149.94
City Hotel,116,17,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,68,0,0,Canceled,12-03-2016,21-04-2016,5,340,April,Thursday,2016,Weekday,cancelled,Individual,Mobile App,Android,10,5,340,UPI,306
City Hotel,168,17,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,0,Transient,58.95,0,0,Check-Out,28-04-2016,21-04-2016,7,412.65,April,Thursday,2016,Weekday,completed,Business,Website,iOS,20,7,412.65,NET BANKING,330.12
City Hotel,93,17,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,88,0,1,Canceled,20-01-2016,21-04-2016,7,616,April,Thursday,2016,Weekday,cancelled,Individual,Mobile App,Desktop,10,7,616,NET BANKING,554.4
City Hotel,57,17,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,95,0,0,Canceled,03-03-2016,22-04-2016,2,190,April,Friday,2016,Weekday,cancelled,Business,Mobile App,iOS,5,2,190,DEBIT CARD,180.5
Resort Hotel,191,17,1,2,2,0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,0,Transient-Party,102.396,0,0,Check-Out,25-04-2016,22-04-2016,3,307.188,April,Friday,2016,Weekday,completed,Business,Website,Desktop,5,3,255.99,NET BANKING,243.1905
City Hotel,191,17,1,2,2,0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,C,1,No Deposit,0,0,Transient-Party,85.33,0,0,Check-Out,25-04-2016,22-04-2016,3,255.99,April,Friday,2016,Weekday,completed,Business,Partner Platform,Desktop,15,3,255.99,CASH,217.5915
Resort Hotel,191,17,1,2,2,0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,0,0,Transient-Party,102.396,0,1,Check-Out,25-04-2016,22-04-2016,3,307.188,April,Friday,2016,Weekday,completed,Business,Mobile App,Desktop,5,3,255.99,UPI,243.1905
City Hotel,191,17,1,2,2,0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,0,Transient-Party,85.33,0,1,Check-Out,25-04-2016,22-04-2016,3,255.99,April,Friday,2016,Weekday,completed,Business,Mobile App,iOS,5,3,255.99,CASH,243.1905
City Hotel,191,17,1,2,2,0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,0,Transient,85.33,0,0,Check-Out,25-04-2016,22-04-2016,3,255.99,April,Friday,2016,Weekday,completed,Individual,Website,iOS,15,3,255.99,CASH,217.5915
Resort Hotel,191,17,1,2,2,0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,A,C,2,No Deposit,0,0,Transient-Party,110.4,0,0,Canceled,15-04-2016,22-04-2016,3,331.2,April,Friday,2016,Weekday,cancelled,Business,Website,iOS,5,3,276,DEBIT CARD,262.2
City Hotel,92,17,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,68,0,0,Canceled,21-04-2016,22-04-2016,3,204,April,Friday,2016,Weekday,cancelled,Business,Mobile App,Desktop,15,3,204,CASH,173.4
Resort Hotel,191,17,1,2,3,0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,C,2,No Deposit,0,0,Transient-Party,102.396,0,0,Check-Out,25-04-2016,22-04-2016,3,307.188,April,Friday,2016,Weekday,completed,Individual,Mobile App,Desktop,5,3,255.99,UPI,243.1905
City Hotel,181,17,1,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,44.1,0,1,Canceled,19-12-2015,22-04-2016,3,132.3,April,Friday,2016,Weekday,cancelled,Business,Partner Platform,Desktop,15,3,132.3,NET BANKING,112.455
City Hotel,191,17,1,2,1,0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,C,2,No Deposit,0,0,Transient-Party,0,0,0,Check-Out,25-04-2016,22-04-2016,3,0,April,Friday,2016,Weekday,completed,Business,Mobile App,iOS,5,3,0,CASH,0
City Hotel,7,17,1,2,1,0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,0,Transient-Party,19,0,0,Canceled,15-04-2016,22-04-2016,3,57,April,Friday,2016,Weekday,cancelled,Business,Website,iOS,0,3,57,CASH,57
City Hotel,191,17,1,2,2,0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,0,Transient-Party,92,0,0,Canceled,15-04-2016,22-04-2016,3,276,April,Friday,2016,Weekday,cancelled,Business,Website,iOS,20,3,276,CASH,220.8
Resort Hotel,83,17,2,5,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,71,0,Transient,55.2,0,0,Canceled,22-02-2016,22-04-2016,7,386.4,April,Friday,2016,Weekday,cancelled,Business,Mobile App,iOS,5,7,322,UPI,305.9
Resort Hotel,83,17,2,5,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,D,D,0,Non Refund,71,0,Transient,69.6,0,0,Canceled,22-02-2016,22-04-2016,7,487.2,April,Friday,2016,Weekday,cancelled,Individual,Website,Desktop,15,7,406,DEBIT CARD,345.1
Resort Hotel,83,17,2,5,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,E,E,0,Non Refund,71,0,Transient,84,0,0,Canceled,22-02-2016,22-04-2016,7,588,April,Friday,2016,Weekday,cancelled,Business,Website,Desktop,5,7,490,NET BANKING,465.5
City Hotel,42,17,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,71,0,0,Canceled,12-03-2016,22-04-2016,7,497,April,Friday,2016,Weekday,cancelled,Business,Mobile App,Android,10,7,497,UPI,447.3
Resort Hotel,83,17,2,5,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,71,0,Transient,55.2,0,0,Canceled,02-02-2016,22-04-2016,7,386.4,April,Friday,2016,Weekday,cancelled,Business,Partner Platform,Desktop,10,7,322,UPI,289.8
City Hotel,80,17,2,5,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,71,0,Transient,46,0,0,Canceled,22-02-2016,22-04-2016,7,322,April,Friday,2016,Weekday,cancelled,Business,Website,iOS,10,7,322,NET BANKING,289.8
City Hotel,41,17,2,5,2,0,0,FB,PRT,Online TA,TA/TO,0,0,0,E,I,1,No Deposit,0,0,Transient,122,0,1,Check-Out,29-04-2016,22-04-2016,7,854,April,Friday,2016,Weekday,completed,Individual,Mobile App,iOS,5,7,854,UPI,811.3
Resort Hotel,25,17,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,Transient,104.4,0,0,Canceled,29-03-2016,23-04-2016,1,104.4,April,Saturday,2016,Weekend,cancelled,Business,Website,iOS,15,1,87,NET BANKING,73.95
City Hotel,35,17,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,75,0,0,Canceled,29-03-2016,23-04-2016,1,75,April,Saturday,2016,Weekend,cancelled,Business,Website,Android,10,1,75,UPI,67.5
Resort Hotel,197,17,1,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,0,Transient,59.16,0,0,Check-Out,25-04-2016,23-04-2016,2,118.32,April,Saturday,2016,Weekend,completed,Business,Mobile App,Android,0,2,98.6,UPI,98.6
Resort Hotel,106,17,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,62.64,0,0,Canceled,18-01-2016,23-04-2016,2,125.28,April,Saturday,2016,Weekend,cancelled,Business,Website,Android,15,2,104.4,NET BANKING,88.74
Resort Hotel,61,17,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,87.6,0,1,Canceled,09-03-2016,23-04-2016,2,175.2,April,Saturday,2016,Weekend,cancelled,Business,Mobile App,iOS,5,2,146,NET BANKING,138.7
Resort Hotel,52,17,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,96,0,1,Canceled,22-04-2016,23-04-2016,2,192,April,Saturday,2016,Weekend,cancelled,Individual,Mobile App,iOS,10,2,160,UPI,144
Resort Hotel,27,17,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,102,0,0,Canceled,30-03-2016,23-04-2016,3,306,April,Saturday,2016,Weekend,cancelled,Group,Website,Android,0,3,255,NET BANKING,255
Resort Hotel,36,17,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,102.396,0,0,Canceled,12-04-2016,23-04-2016,3,307.188,April,Saturday,2016,Weekend,cancelled,Individual,Website,iOS,15,3,255.99,DEBIT CARD,217.5915
Resort Hotel,21,17,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,0,Transient,94.8,0,0,Canceled,07-04-2016,23-04-2016,5,474,April,Saturday,2016,Weekend,cancelled,Business,Mobile App,Android,10,5,395,CASH,355.5
Resort Hotel,98,17,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,87.6,0,1,Canceled,29-01-2016,23-04-2016,5,438,April,Saturday,2016,Weekend,cancelled,Business,Mobile App,Desktop,15,5,365,NET BANKING,310.25
City Hotel,106,17,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,52.2,0,0,Canceled,21-04-2016,23-04-2016,4,208.8,April,Saturday,2016,Weekend,cancelled,Individual,Mobile App,iOS,5,4,208.8,DEBIT CARD,198.36
City Hotel,17,17,2,2,2,2,0,HB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,178,0,0,Canceled,06-04-2016,23-04-2016,4,712,April,Saturday,2016,Weekend,cancelled,Business,Mobile App,iOS,10,4,712,DEBIT CARD,640.8
City Hotel,229,17,2,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,177,0,Transient,52.2,0,1,Canceled,20-04-2016,23-04-2016,6,313.2,April,Saturday,2016,Weekend,cancelled,Business,Mobile App,Desktop,10,6,313.2,UPI,281.88
Resort Hotel,191,17,2,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,122.04,0,1,Canceled,17-11-2015,23-04-2016,6,732.24,April,Saturday,2016,Weekend,cancelled,Individual,Mobile App,Desktop,15,6,610.2,UPI,518.67
City Hotel,218,17,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,0,Transient,40.76,0,0,Check-Out,30-04-2016,23-04-2016,7,285.32,April,Saturday,2016,Weekend,completed,Business,Mobile App,Desktop,0,7,285.32,CASH,285.32
City Hotel,80,17,2,5,1,0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,253,0,Transient,54,0,1,Canceled,03-03-2016,23-04-2016,7,378,April,Saturday,2016,Weekend,cancelled,Individual,Partner Platform,iOS,5,7,378,UPI,359.1
Resort Hotel,222,17,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,156,0,Transient,49.596,0,2,Check-Out,30-04-2016,23-04-2016,7,347.172,April,Saturday,2016,Weekend,completed,Business,Mobile App,Android,5,7,289.31,NET BANKING,274.8445
City Hotel,103,17,4,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,68,0,0,Canceled,27-01-2016,23-04-2016,10,680,April,Saturday,2016,Weekend,cancelled,Business,Website,Android,5,10,680,UPI,646
Resort Hotel,95,17,4,10,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,95,0,Transient-Party,56.4,0,0,Canceled,11-02-2016,23-04-2016,14,789.6,April,Saturday,2016,Weekend,cancelled,Individual,Mobile App,iOS,10,14,658,UPI,592.2
City Hotel,95,17,4,10,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,95,0,Transient-Party,8,0,0,Canceled,19-01-2016,23-04-2016,14,112,April,Saturday,2016,Weekend,cancelled,Business,Partner Platform,Desktop,5,14,112,DEBIT CARD,106.4
City Hotel,9,18,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,Transient,81,0,0,Canceled,20-04-2016,24-04-2016,1,81,April,Sunday,2016,Weekend,cancelled,Business,Mobile App,iOS,5,1,81,NET BANKING,76.95
City Hotel,143,18,2,2,2,0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,68,0,Transient,84,0,0,Canceled,05-01-2016,24-04-2016,4,336,April,Sunday,2016,Weekend,cancelled,Business,Partner Platform,Desktop,15,4,336,UPI,285.6
Resort Hotel,62,18,2,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,314,0,Transient,63.072,0,0,Canceled,14-04-2016,24-04-2016,4,252.288,April,Sunday,2016,Weekend,cancelled,Business,Mobile App,Android,0,4,210.24,DEBIT CARD,210.24
Resort Hotel,46,18,2,3,1,0,0,BB,IRL,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,Transient,81,0,0,Canceled,30-03-2016,24-04-2016,5,405,April,Sunday,2016,Weekend,cancelled,Individual,Mobile App,Android,10,5,337.5,DEBIT CARD,303.75
City Hotel,42,18,2,3,3,1,0,BB,NLD,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,Transient,124.4,0,0,Canceled,13-03-2016,24-04-2016,5,622,April,Sunday,2016,Weekend,cancelled,Business,Mobile App,Android,15,5,622,DEBIT CARD,528.7
Resort Hotel,89,18,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,95,0,Transient,62.64,0,0,Canceled,31-03-2016,24-04-2016,7,438.48,April,Sunday,2016,Weekend,cancelled,Business,Website,Android,15,7,365.4,DEBIT CARD,310.59
Resort Hotel,167,18,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,0,Transient,68.34,0,0,Check-Out,01-05-2016,24-04-2016,7,478.38,April,Sunday,2016,Weekend,completed,Individual,Mobile App,Desktop,10,7,398.65,UPI,358.785
Resort Hotel,72,18,2,5,2,2,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250,0,Transient,105.6,0,0,Canceled,22-02-2016,24-04-2016,7,739.2,April,Sunday,2016,Weekend,cancelled,Business,Mobile App,Android,5,7,616,UPI,585.2
Resort Hotel,98,18,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,69.6,0,1,Canceled,25-02-2016,25-04-2016,1,69.6,April,Monday,2016,Weekday,cancelled,Individual,Website,iOS,10,1,58,DEBIT CARD,52.2
City Hotel,9,18,1,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,0,Transient,43.12,0,0,Canceled,17-04-2016,25-04-2016,2,86.24,April,Monday,2016,Weekday,cancelled,Business,Mobile App,Desktop,5,2,86.24,CASH,81.928
City Hotel,53,18,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,58,0,1,Canceled,07-03-2016,25-04-2016,3,174,April,Monday,2016,Weekday,cancelled,Business,Partner Platform,Android,0,3,174,CASH,174
Resort Hotel,138,18,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,E,E,0,Non Refund,0,0,Transient,78,0,0,Canceled,18-01-2016,25-04-2016,3,234,April,Monday,2016,Weekday,cancelled,Business,Website,iOS,15,3,195,UPI,165.75
Resort Hotel,13,18,1,2,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,0,0,Transient,102,0,0,Canceled,19-04-2016,25-04-2016,3,306,April,Monday,2016,Weekday,cancelled,Individual,Mobile App,iOS,0,3,255,DEBIT CARD,255
Resort Hotel,18,18,1,3,2,0,0,BB,FIN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,102,0,0,Canceled,13-04-2016,25-04-2016,4,408,April,Monday,2016,Weekday,cancelled,Business,Website,iOS,0,4,340,CASH,340
City Hotel,110,18,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,52.2,0,1,Canceled,07-04-2016,25-04-2016,4,208.8,April,Monday,2016,Weekday,cancelled,Individual,Mobile App,iOS,20,4,208.8,CASH,167.04
Resort Hotel,27,18,1,3,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,102,0,0,Canceled,30-03-2016,25-04-2016,4,408,April,Monday,2016,Weekday,cancelled,Business,Mobile App,Desktop,10,4,340,NET BANKING,306
City Hotel,56,18,1,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,0,Transient-Party,47,0,1,Canceled,21-04-2016,25-04-2016,4,188,April,Monday,2016,Weekday,cancelled,Business,Website,iOS,15,4,188,NET BANKING,159.8
Resort Hotel,13,18,1,4,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,0,0,Transient,102,0,0,Canceled,19-04-2016,25-04-2016,5,510,April,Monday,2016,Weekday,cancelled,Group,Website,Android,10,5,425,NET BANKING,382.5
City Hotel,93,18,2,5,3,1,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,Transient,125,0,1,Canceled,27-01-2016,25-04-2016,7,875,April,Monday,2016,Weekday,cancelled,Group,Mobile App,Android,15,7,875,NET BANKING,743.75
Resort Hotel,93,18,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,88.284,0,1,Canceled,27-01-2016,25-04-2016,7,617.988,April,Monday,2016,Weekday,cancelled,Group,Mobile App,iOS,10,7,514.99,DEBIT CARD,463.491
Resort Hotel,93,18,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,136.284,0,0,Canceled,27-01-2016,25-04-2016,7,953.988,April,Monday,2016,Weekday,cancelled,Business,Mobile App,Android,5,7,794.99,UPI,755.2405
Resort Hotel,13,18,9,24,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,No Deposit,0,0,Transient,92.4,0,0,Canceled,19-04-2016,25-04-2016,33,3049.2,April,Monday,2016,Weekday,cancelled,Business,Website,Desktop,20,33,2541,UPI,2032.8
City Hotel,3,18,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,59,0,0,Canceled,23-04-2016,26-04-2016,1,59,April,Tuesday,2016,Weekday,cancelled,Business,Mobile App,Desktop,10,1,59,DEBIT CARD,53.1
Resort Hotel,7,18,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,248,0,Transient,36,0,0,Check-Out,28-04-2016,26-04-2016,2,72,April,Tuesday,2016,Weekday,completed,Business,Partner Platform,Android,10,2,60,DEBIT CARD,54
City Hotel,189,18,0,2,2,0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,248,0,Transient,46,0,0,Check-Out,28-04-2016,26-04-2016,2,92,April,Tuesday,2016,Weekday,completed,Individual,Mobile App,iOS,20,2,92,CASH,73.6
City Hotel,189,18,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,248,0,Transient-Party,46,0,0,Canceled,22-03-2016,26-04-2016,2,92,April,Tuesday,2016,Weekday,cancelled,Individual,Partner Platform,Android,5,2,92,NET BANKING,87.4
City Hotel,189,18,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,248,0,Transient-Party,46,0,0,Canceled,11-03-2016,26-04-2016,2,92,April,Tuesday,2016,Weekday,cancelled,Business,Mobile App,iOS,20,2,92,CASH,73.6
Resort Hotel,189,18,0,2,2,0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,248,0,Transient-Party,55.2,0,0,Check-Out,28-04-2016,26-04-2016,2,110.4,April,Tuesday,2016,Weekday,completed,Business,Website,Android,15,2,92,DEBIT CARD,78.2
Resort Hotel,189,18,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,248,0,Transient-Party,36,0,0,Check-Out,28-04-2016,26-04-2016,2,72,April,Tuesday,2016,Weekday,completed,Business,Partner Platform,iOS,15,2,60,CASH,51
City Hotel,189,18,0,2,1,0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,248,0,Transient-Party,30,0,0,Check-Out,28-04-2016,26-04-2016,2,60,April,Tuesday,2016,Weekday,completed,Individual,Mobile App,iOS,20,2,60,CASH,48
City Hotel,27,18,0,3,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,87,0,1,Canceled,26-04-2016,26-04-2016,3,261,April,Tuesday,2016,Weekday,cancelled,Business,Website,Android,0,3,261,NET BANKING,261
City Hotel,53,18,0,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,80,0,0,Canceled,23-03-2016,26-04-2016,3,240,April,Tuesday,2016,Weekday,cancelled,Individual,Partner Platform,Android,5,3,240,DEBIT CARD,228
Resort Hotel,11,18,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,177,0,Transient,115.2,0,0,Canceled,25-04-2016,26-04-2016,3,345.6,April,Tuesday,2016,Weekday,cancelled,Business,Mobile App,Desktop,10,3,288,CASH,259.2
City Hotel,26,18,0,4,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,0,Transient,78.2,0,0,Canceled,13-04-2016,26-04-2016,4,312.8,April,Tuesday,2016,Weekday,cancelled,Business,Mobile App,iOS,0,4,312.8,UPI,312.8
Resort Hotel,53,18,2,6,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,114,0,0,Canceled,03-04-2016,26-04-2016,8,912,April,Tuesday,2016,Weekday,cancelled,Individual,Mobile App,Android,0,8,760,UPI,760
Resort Hotel,179,18,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,0,Transient,99.54,0,1,Check-Out,10-05-2016,26-04-2016,14,1393.56,April,Tuesday,2016,Weekday,completed,Business,Website,iOS,10,14,1161.3,UPI,1045.17
City Hotel,6,18,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,Transient-Party,72,0,0,Canceled,22-04-2016,27-04-2016,1,72,April,Wednesday,2016,Weekday,cancelled,Business,Partner Platform,Desktop,15,1,72,UPI,61.2
City Hotel,6,18,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,Transient-Party,72,0,0,Canceled,26-04-2016,27-04-2016,1,72,April,Wednesday,2016,Weekday,cancelled,Group,Website,Android,20,1,72,NET BANKING,57.6
Resort Hotel,179,18,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,62.64,0,1,Canceled,16-03-2016,27-04-2016,2,125.28,April,Wednesday,2016,Weekday,cancelled,Business,Mobile App,iOS,5,2,104.4,UPI,99.18
Resort Hotel,12,18,0,3,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,1,No Deposit,385,0,Transient-Party,102.396,0,0,Canceled,27-04-2016,27-04-2016,3,307.188,April,Wednesday,2016,Weekday,cancelled,Business,Website,Desktop,0,3,255.99,CASH,255.99
City Hotel,12,18,0,3,2,0,0,Undefined,PRT,Groups,Direct,0,0,0,A,A,1,No Deposit,385,0,Transient-Party,72,0,0,Canceled,15-04-2016,27-04-2016,3,216,April,Wednesday,2016,Weekday,cancelled,Business,Mobile App,Desktop,15,3,216,CASH,183.6
Resort Hotel,89,18,0,3,1,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,250,0,Transient,150.804,0,1,Canceled,08-03-2016,27-04-2016,3,452.412,April,Wednesday,2016,Weekday,cancelled,Business,Mobile App,iOS,15,3,377.01,UPI,320.4585
City Hotel,91,18,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,68,0,1,Canceled,29-01-2016,27-04-2016,4,272,April,Wednesday,2016,Weekday,cancelled,Group,Mobile App,iOS,5,4,272,CASH,258.4
